feature,importance_rf,importance_xgboost,importance_hypothesis
BMXWAIST,0.17930653512039024,0.20109996,
bmi_squared,0.1637470337284127,0.1473167,
BMXBMI,0.15365373990636028,0.12476401,
crp_bmi_interaction,0.0709857449823839,0.051194955,
LBXGH,0.05947325089015696,0.07386807,
BPXSY2,0.044058041922845716,0.03875908,
LBXHSCRP,0.0375656144094951,0.028958743,0.1507591119008243
nlr,0.034401308351321803,0.022423167,0.11940763350279225
sugar_crp_interaction,0.03437549833552097,0.027752167,0.1375810803259342
crp_squared,0.034324912611079984,0.01764913,0.16175046350400968
DR1TFIBE,0.03062155273789475,0.050635044,0.10622089114337038
bmi_inactivity_interaction,0.03000069602456228,0.018880995,
carb_percent,0.028977882000460812,0.026075432,
RIDAGEYR,0.0271297768072989,0.048134927,0.04904634187553754
DR1TSUGR,0.022575878300346564,0.027221221,0.11562155999053911
BPXDI2,0.01774135028659136,0.019896006,
sugar_inactivity_interaction,0.015045052740462613,0.02888865,0.06998247920917462
comprehensive_inactivity_score,0.011994683053419277,0.025740601,0.0671489780815151
RIAGENDR,0.004021447790995794,0.020741198,0.022481460466302946
