feature,importance
BMXWAIST,0.16640094538826883
bmi_squared,0.15278573073464877
BMXBMI,0.13662047346932624
crp_bmi_interaction,0.052489338071341256
RIDAGEYR,0.05106664239032203
DR1TFIBE,0.04061904016208571
synthetic_mirna155,0.04009815793247267
carb_percent,0.03816048654240796
sugar_crp_interaction,0.03783467532671731
bmi_inactivity_interaction,0.03694648086455378
BPXSY2,0.034978050710907586
LBXHSCRP,0.03386997137174392
crp_squared,0.033455422947141725
DR1TSUGR,0.03182451204752133
LBXGH,0.02870480046396329
BPXDI2,0.02783267264242581
comprehensive_inactivity_score,0.019877074451901573
sugar_inactivity_interaction,0.01929404438588738
RIAGENDR,0.017141480096362745
